n_qubits,depth,gate_count,two_qubit_ratio,two_qubit_gates,fidelity,robust_fidelity,total_error_rate,classical_shadow_expr,entropy_expressibility,angle_entropy,entropy,concentration,state_exploration,entanglement_potential,circuit_complexity,quantum_volume,performance_per_complexity,shot_efficiency,expressibility_ratio,complexity_per_qubit,performance_score
60,2,0,0.500000,0,0.001645,0.472862,0.998355,21.234526,1.095023,1.095023,0,0,0.000000,1.000000,0,4,472861.842105,472.861842,0.051568,0.000000,0.517795
60,4,0,0.100000,0,0.000000,0.321546,1.000000,21.161463,1.093205,1.093205,0,0,0.000000,0.400000,0,16,321546.052632,321.546053,0.051660,0.000000,0.351516
60,4,0,0.100000,0,0.000000,0.321546,1.000000,21.161463,1.093205,1.093205,0,0,0.000000,0.400000,0,16,321546.052632,321.546053,0.051660,0.000000,0.351516
5,4,0,0.300000,0,0.185855,0.702303,0.814145,15.175966,1.090885,1.090885,0,0,0.000000,1.200000,0,16,702302.631579,702.302632,0.071882,0.000000,0.766132
5,4,0,0.300000,0,0.185855,0.702303,0.814145,15.175966,1.090885,1.090885,0,0,0.000000,1.200000,0,16,702302.631579,702.302632,0.071882,0.000000,0.766132
7,3,0,0.300000,0,0.176809,0.707237,0.823191,27.970676,1.087367,1.087367,0,0,0.000000,0.900000,0,9,707236.842105,707.236842,0.038875,0.000000,0.769026
7,3,0,0.300000,0,0.176809,0.707237,0.823191,27.970676,1.087367,1.087367,0,0,0.000000,0.900000,0,9,707236.842105,707.236842,0.038875,0.000000,0.769026
60,2,0,0.300000,0,0.000000,0.360197,1.000000,22.249132,1.080964,1.080964,0,0,0.000000,0.600000,0,4,360197.368421,360.197368,0.048585,0.000000,0.389360
60,2,0,0.300000,0,0.000000,0.360197,1.000000,22.249132,1.080964,1.080964,0,0,0.000000,0.600000,0,4,360197.368421,360.197368,0.048585,0.000000,0.389360
7,4,0,0.500000,0,0.412007,0.847039,0.587993,29.550281,1.078965,1.078965,0,0,0.000000,2.000000,0,16,847039.473684,847.039474,0.036513,0.000000,0.913926
7,4,0,0.500000,0,0.412007,0.847039,0.587993,29.550281,1.078965,1.078965,0,0,0.000000,2.000000,0,16,847039.473684,847.039474,0.036513,0.000000,0.913926
10,4,0,0.500000,0,0.262336,0.686678,0.737664,33.373163,1.077039,1.077039,0,0,0.000000,2.000000,0,16,686677.631579,686.677632,0.032273,0.000000,0.739579
10,4,0,0.500000,0,0.262336,0.686678,0.737664,33.373163,1.077039,1.077039,0,0,0.000000,2.000000,0,16,686677.631579,686.677632,0.032273,0.000000,0.739579
7,4,0,0.300000,0,0.434211,0.809211,0.565789,27.697181,1.076021,1.076021,0,0,0.000000,1.200000,0,16,809210.526316,809.210526,0.038849,0.000000,0.870727
7,4,0,0.300000,0,0.434211,0.809211,0.565789,27.697181,1.076021,1.076021,0,0,0.000000,1.200000,0,16,809210.526316,809.210526,0.038849,0.000000,0.870727
10,4,0,0.300000,0,0.323191,0.723684,0.676809,36.088396,1.071479,1.071479,0,0,0.000000,1.200000,0,16,723684.210526,723.684211,0.029690,0.000000,0.775413
10,4,0,0.300000,0,0.323191,0.723684,0.676809,36.088396,1.071479,1.071479,0,0,0.000000,1.200000,0,16,723684.210526,723.684211,0.029690,0.000000,0.775413
60,2,0,0.300000,0,0.000822,0.390625,0.999178,23.665457,1.065939,1.065939,0,0,0.000000,0.600000,0,4,390625.000000,390.625000,0.045042,0.000000,0.416382
60,2,0,0.300000,0,0.000822,0.390625,0.999178,23.665457,1.065939,1.065939,0,0,0.000000,0.600000,0,4,390625.000000,390.625000,0.045042,0.000000,0.416382
127,3,0,0.100000,0,0.000822,0.986020,0.999178,24.773415,1.064753,1.064753,0,0,0.000000,0.300000,0,9,986019.736842,986.019737,0.042980,0.000000,1.049868
127,3,0,0.100000,0,0.000822,0.986020,0.999178,24.773415,1.064753,1.064753,0,0,0.000000,0.300000,0,9,986019.736842,986.019737,0.042980,0.000000,1.049868
60,3,0,0.300000,0,0.000000,0.337993,1.000000,23.203839,1.056649,1.056649,0,0,0.000000,0.900000,0,9,337993.421053,337.993421,0.045538,0.000000,0.357140
60,3,0,0.300000,0,0.000000,0.337993,1.000000,23.203839,1.056649,1.056649,0,0,0.000000,0.900000,0,9,337993.421053,337.993421,0.045538,0.000000,0.357140
127,3,0,0.100000,0,0.009046,0.999178,0.990954,24.785146,1.055800,1.055800,0,0,0.000000,0.300000,0,9,999177.631579,999.177632,0.042598,0.000000,1.054932
127,3,0,0.100000,0,0.009046,0.999178,0.990954,24.785146,1.055800,1.055800,0,0,0.000000,0.300000,0,9,999177.631579,999.177632,0.042598,0.000000,1.054932
7,4,0,0.300000,0,0.439967,0.847862,0.560033,27.938517,1.052102,1.052102,0,0,0.000000,1.200000,0,16,847861.842105,847.861842,0.037658,0.000000,0.892037
7,4,0,0.300000,0,0.439967,0.847862,0.560033,27.938517,1.052102,1.052102,0,0,0.000000,1.200000,0,16,847861.842105,847.861842,0.037658,0.000000,0.892037
7,3,0,0.500000,0,0.301809,0.777961,0.698191,25.826773,1.051995,1.051995,0,0,0.000000,1.500000,0,9,777960.526316,777.960526,0.040733,0.000000,0.818411
7,3,0,0.500000,0,0.301809,0.777961,0.698191,25.826773,1.051995,1.051995,0,0,0.000000,1.500000,0,9,777960.526316,777.960526,0.040733,0.000000,0.818411
60,4,0,0.100000,0,0.000000,0.361842,1.000000,22.036952,1.045930,1.045930,0,0,0.000000,0.400000,0,16,361842.105263,361.842105,0.047463,0.000000,0.378462
